"Domaine","Support","Année","Nauteurs","Titre"
"Informatique", "COMM", "2017", "7", "Problèmes de tokénisation pour deux langues régionales de France, l’alsacien et le picard"
"Informatique", "COMM", "2010", "2", "A propos de requêtes à préférences et diviseur stratifié"
"Informatique", "COMM", "2015", "3", "Représentation symbolique de séries temporelles cycliques basée sur les propriétés des cycles : application à la biomécanique"
"Lettres", "COUV", "2006", "1", "Le balisage déictique d’un autre monde"
"Lettres", "ART", "2015", "1", "L'anglais d'Afrique du Sud : indigénisation et affirmation politique. Le cas du Dictionary of South African English on Historical Principles"
"Informatique", "COMM", "2003", "2", "A la re-découverte du château de Montaigne"
"Linguistique", "COUV", "2006", "1", "La réception de l'analyse de la conversation : de la sociologie à la linguistique interactionnelle"
"Linguistique", "COUV", "2011", "1", "Le vocatif et la périphérie du système des cas: entre archaïsmes et innovations"
"Linguistique", "COMM", "2004", "1", "Structures syllabiques arborescentes versus structures syllabiques latéralisées : un exemple d'avantage de la latéralité sur la verticalité"
"Informatique", "COMM", "2012", "4", "BALayage Autonome pour la Détection Electromagnétique (BALADE)"
"Linguistique", "COMM", "2014", "1", "Les désignations du genre : stéréotypes ou évolution ?"
"Informatique", "COMM", "2005", "3", "Un analyseur LFG efficace pour le français: SxLfg"
"Informatique", "ART", "2007", "1", "Une chronologie de SETI"
"Linguistique", "COUV", "2014", "3", "Schématisation discursive et schématisation intonative : question de genre ?"
"Linguistique", "ART", "2003", "1", "L'orthographe, un enseignement en mutation"
"Lettres", "COMM", "2012", "1", "Figurations de l'enfermement dans la correspondance de Marie-Anne Victoire de Bourbon (1718-1781), reine du Portugal"
"Informatique", "COMM", "2011", "3", "Réseaux de capteurs sans fil pour la rééducation fonctionnelle"
"Linguistique", "ART", "2017", "1", "Les langues parlées en Guyane : une extraordinaire diversité, un casse-tête pour les institutions"
"Lettres", "ART", "1988", "1", "La fonction du merveilleux dans l'historiographie romaine de l'Empire"
"Linguistique", "COUV", "2013", "1", "Résultats préliminaires des prospections et des fouilles archéologiques à wādī Ramm"
"Informatique", "COMM", "2016", "3", "Vérification de la cohérence des multi-réseaux de contraintes qualitatives"
"Informatique", "COMM", "2014", "3", "Ordonnancement de travaux interférants sur machines parallèles identiques"
"Linguistique", "ART", "2012", "1", "L'interprétation des formes de la langue étrangère en classe de langue : une analyse sociocognitive."
"Linguistique", "COMM", "2009", "6", "La recherche d'information sur Internet par les jeunes usagers : acquisition et développement de stratégies"
"Linguistique", "COMM", "2010", "1", "Vers une didactique de l'alternance codique aux Antilles françaises"
"Lettres", "COMM", "2012", "1", "Littérature et pensée : la problématique du vivant"
"Linguistique", "ART", "2004", "1", "Les fauves ont soif. Explication de Damascius, Vie d'Isidore, 74a"
"Lettres", "ART", "1999", "1", "« Comme une truite parmi les carpes » : Jean Potocki dans le paysage intellectuel des Lumières européennes"
"Linguistique", "ART", "2005", "2", "Enseignement de la grammaire et enseignement grammaticalisé en français langue seconde"
"Informatique", "COMM", "2011", "3", "Compilation pour cibles hétérogènes : automatisation des analyses, transformations et décisions nécessaires"
"Lettres", "ART", "2009", "1", "Entretien avec Elsa Cross"
"Lettres", "ART", "2015", "1", "Controverses à Los Angeles : le port du maillot de bain en ville au début du XXe siècle"
"Informatique", "COMM", "2007", "3", "Coloration avec préférences dans les graphes triangulés"
"Linguistique", "ART", "1996", "1", "La fable dans la littérature basque"
"Informatique", "COMM", "2006", "4", "Extraction d'information de sous-catégorisation à partir des tables du LADL"
"Lettres", "COUV", "2009", "1", "« Les animaux du château du Graal dans le Lancelot en prose (2e partie) »"
"Lettres", "COMM", "2016", "2", "À la croisée des discours littéraire et scientifique : La comparaison comme haute figure dialogique"
"Informatique", "COMM", "2013", "4", "Algorithme distribué de routage compact en temps optimal"
"Lettres", "ART", "1995", "1", "Doctrine d'Addaï, Doctrine de Simon Kepha dans la ville de Rome"
"Lettres", "ART", "2014", "1", "« Questa miseranda tragedia ». Le sac de Rome, la providence, la politique"
"Linguistique", "COUV", "2008", "2", "Distances rythmiques entre variétés romanes."
